,KENYA NAIROBI SE (NSE20) - PRICE INDEX,KENYA NAIROBI SE ALL SHARE - PRICE INDEX,FTSE/JSE ALL SHARE - PRICE INDEX,EGX 100 IDX - PRICE INDEX,EGX 20 CAPPED IDX 'DEAD' - PRICE INDEX,EGX 70 IDX - PRICE INDEX,BRVM COMPOSITE - PRICE INDEX,BRVM TOP TEN - PRICE INDEX,GHANA COMPOSITE GSE-CI - PRICE INDEX,MAURITIUS SE SEM 10 - PRICE INDEX,MOROCCO ALL SHARE (MASI) - PRICE INDEX,NIGERIA SE 30 INDEX - PRICE INDEX,NIGERIA ALL SHARE - PRICE INDEX,ZM LUSAKA SE ALL SHARE INDEX NADJ,BOTSWANA SE DMS COS. IDX. - PRICE INDEX,TUNISIA TUNINDEX - PRICE INDEX,TUNISIA TUNINDEX 20 - PRICE INDEX
CURRENCY,KS,KS,R,E?,E?,E?,,,,,,,,,,,
01-01-99,2962.06,NA,5015.72,NA,NA,NA,98.05,94.61,NA,111.7,NA,NA,NA,158.94,NA,917.08,NA
04-01-99,2965.85,NA,4989.21,NA,NA,NA,98.04,94.76,NA,111.92,NA,NA,NA,162.83,NA,916.75,NA
05-01-99,3003.98,NA,5006.19,NA,NA,NA,98.04,94.76,NA,111.43,NA,NA,NA,167.14,NA,916.17,NA
06-01-99,3071.49,NA,5253.79,NA,NA,NA,97.87,94.9,NA,111.43,NA,NA,NA,166.83,NA,916.17,NA
07-01-99,3080.74,NA,5304.66,NA,NA,NA,97.87,94.9,NA,111.81,NA,NA,NA,176.52,NA,917.08,NA
08-01-99,3119.89,NA,5398.3,NA,NA,NA,97.97,95.08,NA,112,NA,NA,NA,178.51,NA,920.21,NA
11-01-99,3123.87,NA,5471.3,NA,NA,NA,97.36,94.71,NA,111.77,NA,NA,NA,204.86,NA,920.21,NA
12-01-99,3126.58,NA,5459.57,NA,NA,NA,97.36,94.71,NA,111.57,NA,NA,NA,202.99,NA,920.39,NA
13-01-99,3121.01,NA,5229.28,NA,NA,NA,97.38,94.65,NA,111.39,NA,NA,NA,204.73,NA,921.97,NA
14-01-99,3087.89,NA,5282.77,NA,NA,NA,97.38,94.65,NA,109.94,NA,NA,NA,197.41,NA,923.14,NA
15-01-99,3058.99,NA,5233.25,NA,NA,NA,97.38,94.65,NA,109.48,NA,NA,NA,197.81,NA,923.14,NA
18-01-99,3037.82,NA,5335.61,NA,NA,NA,96.84,93.98,NA,108.83,NA,NA,NA,195.36,NA,923.14,NA
19-01-99,3028.34,NA,5370.28,NA,NA,NA,96.84,93.98,NA,108.4,NA,NA,NA,190.72,NA,923.14,NA
20-01-99,3028.34,NA,5345.63,NA,NA,NA,96.68,93.98,NA,108.4,NA,NA,NA,197.04,NA,923.14,NA
21-01-99,3030.51,NA,5295.28,NA,NA,NA,96.68,93.98,NA,108.34,NA,NA,NA,204.05,NA,929.28,NA
22-01-99,3014.37,NA,5216.3,NA,NA,NA,96.92,94.28,NA,108.07,NA,NA,NA,203.98,NA,934.9,NA
25-01-99,3000.63,NA,5211.31,NA,NA,NA,96.73,94.28,NA,107.57,NA,NA,NA,206.24,NA,939.9,NA
26-01-99,3000.63,NA,5230.07,NA,NA,NA,96.73,94.28,NA,106.94,NA,NA,NA,234.38,NA,940.16,NA
27-01-99,2991.32,NA,5339.27,NA,NA,NA,96.54,94.1,NA,106.85,NA,NA,NA,240.33,NA,942.34,NA
28-01-99,2988,NA,5392,NA,NA,NA,96.54,94.1,NA,106.98,NA,NA,NA,248.47,NA,947.66,NA
